Group	Bin
WIS	62
WIS	62
WIS	62
WIS	119
WIS	58
WIS	117
WIS	62
WIS	62
WIS	62
WIS	62
WIS	77
WIS	62
WIS	62
WIS	62
WIS	62
WIS	22
WIS	94
WIS	1
WIS	62
WIS	62
WIS	62
WIS	62
WIS	48
WIS	62
WIS	59
WIS	62
WIS	97
WIS	62
WIS	79
WIS	62
WIS	62
WIS	62
WIS	62
WIS	6
WIS	0
WIS	62
WIS	62
WIS	21
WIS	62
WIS	62
WIS	62
WIS	62
WIS	89
WIS	62
WIS	62
WIS	62
WIS	78
WIS	62
WIS	78
WIS	0
WIS	62
WIS	0
WIS	62
WIS	67
WIS	62
WIS	62
WIS	65
WIS	62
WIS	62
WIS	62
WIS	8
WIS	111
WIS	34
WIS	105
WIS	62
WIS	107
WIS	51
WIS	81
WIS	18
WIS	6
WIS	32
WIS	95
WIS	20
WIS	62
WIS	87
WIS	110
WIS	27
